Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NR5A1 human	8/22	1.86E-16	1.06E-13	0	0	151.5151515	5488.395484	HSD3B2;STAR;CYP11A1;CYP11B2;CYP11B1;HSD3B1;CYP19A1;CYP17A1
NR5A2 human	5/12	5.02E-11	1.43E-08	0	0	173.6111111	4117.076135	HSD3B2;STAR;CYP11A1;CYP11B1;CYP19A1
NR5A1 mouse	5/23	2.09E-09	3.98E-07	0	0	90.57971014	1810.220371	STAR;CYP11A1;CYP11B2;CYP19A1;CYP17A1
NR4A1 human	4/15	3.91E-08	5.58E-06	0	0	111.1111111	1895.289459	HSD3B2;STAR;CYP11A1;CYP17A1
CREB1 human	6/90	7.39E-08	8.44E-06	0	0	27.77777778	456.1178554	AR;CYP11A1;CYP11B2;CYP11B1;CYP19A1;CYP17A1
NR0B1 human	3/10	1.54E-06	1.46E-04	0	0	125	1673.092298	STAR;CYP19A1;CYP17A1
NR0B1 mouse	3/11	2.11E-06	1.72E-04	0	0	113.6363636	1484.996478	STAR;CYP11A1;CYP19A1
SF1 human	3/12	2.81E-06	2.01E-04	0	0	104.1666667	1331.455379	STAR;HSD3B2;CYP11A1
SF1 mouse	3/15	5.78E-06	3.67E-04	0	0	83.33333333	1005.029762	STAR;CYP11A1;CYP17A1
SP1 human	8/472	1.49E-05	8.53E-04	0	0	7.062146893	78.4727961	AR;STAR;HSD17B1;HSD17B2;HSD3B1;HSD17B11;CYP19A1;CYP17A1
NR2F1 human	2/9	2.01E-04	0.010427214	0	0	92.59259259	788.2250101	CYP19A1;CYP17A1
GATA6 human	2/9	2.01E-04	0.009558279	0	0	92.59259259	788.2250101	CYP11A1;CYP17A1
NR4A1 mouse	2/10	2.51E-04	0.011011909	0	0	83.33333333	690.9348177	AR;HSD3B1
JUN human	4/149	4.46E-04	0.018198668	0	0	11.18568233	86.2946171	AR;STAR;CYP11A1;CYP19A1
GATA4 human	2/19	9.40E-04	0.035769683	0	0	43.85964912	305.7014738	STAR;CYP17A1
ATF1 human	2/24	0.001505088	0.053712822	0	0	34.72222222	225.6563894	CYP11B2;CYP11B1
HDAC1 mouse	2/28	0.002048751	0.068813921	0	0	29.76190476	184.2418179	AR;STAR
ATF2 human	2/32	0.00267193	0.084759557	0	0	26.04166667	154.2956829	CYP11B2;CYP11B1
JUN mouse	3/131	0.003830598	0.115119564	0	0	9.541984733	53.09860908	STAR;CYP11A1;CYP19A1
CREBBP mouse	2/41	0.004357042	0.124393545	0	0	20.32520325	110.487031	STAR;CYP11A1
CEBPA human	2/51	0.006672205	0.181420427	0	0	16.33986928	81.85955737	STAR;HSD17B11
WT1 human	2/57	0.008276102	0.214802462	0	0	14.61988304	70.0933218	AR;CYP19A1
RUNX2 mouse	2/57	0.008276102	0.205463225	0	0	14.61988304	70.0933218	CYP11A1;CYP19A1
CEBPB human	2/60	0.009136598	0.217374883	0	0	13.88888889	65.21482257	STAR;CYP19A1
TFAP2A human	2/71	0.012614773	0.288121421	0	0	11.7370892	51.32496092	CYP11A1;HSD17B1
TCF21 mouse	1/6	0.014315529	0.314391031	0	0	69.44444444	294.8896124	AR
PIAS1 human	1/6	0.014315529	0.302746919	0	0	69.44444444	294.8896124	CYP17A1
ESR1 human	2/76	0.014358299	0.292806735	0	0	10.96491228	46.52880696	AR;CYP19A1
APEX1 human	1/7	0.01668187	0.328460262	0	0	59.52380952	243.656714	CYP11B2
NCOR1 human	1/7	0.01668187	0.317511587	0	0	59.52380952	243.656714	AR
SIN3A mouse	1/7	0.01668187	0.307269278	0	0	59.52380952	243.656714	STAR
YY1 human	2/91	0.020167091	0.359856537	0	0	9.157509158	35.74819727	HSD3B2;STAR
ESRRA human	1/9	0.021397879	0.370248146	0	0	46.2962963	177.9844204	CYP19A1
SP2 human	1/9	0.021397879	0.359358495	0	0	46.2962963	177.9844204	HSD17B2
NKX3-1 human	1/10	0.023747572	0.387424677	0	0	41.66666667	155.8447908	AR
HDAC2 mouse	1/10	0.023747572	0.37666288	0	0	41.66666667	155.8447908	STAR
NCOA1 mouse	1/11	0.026091741	0.402659036	0	0	37.87878788	138.1112287	AR
SP1 mouse	3/270	0.026936246	0.404752542	0	0	4.62962963	16.73278915	AR;STAR;CYP11A1
SP3 human	2/113	0.030145714	0.441364168	0	0	7.374631268	25.82383871	HSD17B2;CYP17A1
ZEB1 human	1/13	0.030763558	0.439149797	0	0	32.05128205	111.5841172	AR
PBX1 mouse	1/13	0.030763558	0.428438826	0	0	32.05128205	111.5841172	CYP17A1
CLOCK human	1/14	0.033091232	0.449883171	0	0	29.76190476	101.4430637	STAR
PGR mouse	1/14	0.033091232	0.439420772	0	0	29.76190476	101.4430637	CYP19A1
CEBPD human	1/17	0.04004146	0.519628942	0	0	24.50980392	78.86862428	CYP19A1
ESR2 mouse	1/17	0.04004146	0.508081632	0	0	24.50980392	78.86862428	AR
FOXM1 human	1/17	0.04004146	0.497036379	0	0	24.50980392	78.86862428	AR
NR5A2 mouse	1/18	0.042347314	0.514474813	0	0	23.14814815	73.19097889	CYP19A1
FOXO3 human	1/18	0.042347314	0.503756587	0	0	23.14814815	73.19097889	AR
NR2F2 mouse	1/19	0.044647745	0.520282901	0	0	21.92982456	68.17876067	AR
GATA2 human	1/19	0.044647745	0.509877243	0	0	21.92982456	68.17876067	AR
RUNX2 human	1/19	0.044647745	0.49987965	0	0	21.92982456	68.17876067	AR
STAT3 human	2/142	0.045655782	0.501335605	0	0	5.868544601	18.11399661	AR;CYP19A1
VHL human	1/20	0.046942764	0.505741858	0	0	20.83333333	63.7255458	AR
NR1H4 human	1/20	0.046942764	0.496376268	0	0	20.83333333	63.7255458	HSD3B2
